case,qx,qy,qs,dqx,dqy,J_x,J_y,J_zeta,C^-,spin_polarization_eq
Reference (no undulators),39.369998215753746,15.219999934338329,0.0,0.9991972402202379,1.5703869453728438,1.83084390437145,1.0,1.16915609562855,0.0,0.9162252618785789
On-axis SplineBoris,39.40783209455886,15.221966894872288,0.0,1.2988508647298365,1.5789635334525882,1.7381269167122515,1.0,1.2618730832877483,0.0006754579086053886,0.8552822797430719
Off-axis SplineBoris,39.41773021963807,15.220224744889665,0.0,1.3851875644394192,1.5915878718805725,1.7326906326580747,1.0000000000000002,1.2673093673419251,0.007750473221041615,0.8458379322174824
On-axis Multipole-kicks,39.407826325103706,15.191299724532225,0.0,1.2988039117816403,1.4348816858084947,1.7362973327868074,1.000000000276132,1.2637026669370606,0.0007383205513278062,0.8535513962741185
Off-axis Multipole-kicks,39.417766040967706,15.187044038923268,0.0,1.385303737110902,1.4321371970477939,1.7307710762299395,0.9999999890012037,1.2692289347688568,0.007839896802716186,0.8472732230085501
